student_id,student_name,attendance_percentage,internal_marks,assignment_submission_rate,semester,risk_score,risk_level
STU0400,Hannah Luna,87.4,96.5,100.0,3,-0.84,Low
STU0401,Robin Young,71.3,81.7,100.0,2,10.79,Low
STU0402,Craig Morrison,65.3,80.7,46.2,5,48.6,Moderate
STU0403,Mary Thompson,81.5,82.8,63.7,6,5.93,Low
STU0404,Kathleen Webster,92.7,88.7,68.1,2,45.77,Moderate
STU0405,Joann Glass,81.0,78.1,51.2,4,37.6,Moderate
STU0406,Madison Weber,77.3,93.8,34.0,5,18.09,Low
STU0407,Lori Hernandez,100.0,92.7,97.0,4,16.33,Low
STU0408,Jeremy Turner,76.4,98.4,91.3,4,3.35,Low
STU0409,Anthony Romero,62.1,82.8,95.7,3,18.86,Low
STU0410,Jesse Brown,55.9,100.0,80.6,1,10.85,Low
STU0411,Angela Lin,75.5,91.5,100.0,1,17.75,Low
STU0412,Lisa Hunter,53.8,79.5,80.7,4,40.43,Moderate
STU0413,Julian Conner,98.7,100.0,100.0,8,3.76,Low
STU0414,Joanna Pacheco,78.9,91.0,61.2,2,16.87,Low
STU0415,Erica Alvarez,78.4,78.4,100.0,8,28.69,Low
STU0416,Antonio Garcia,100.0,61.6,67.0,7,15.88,Low
STU0417,Gwendolyn Klein,100.0,78.9,69.4,4,9.51,Low
STU0418,Carrie Wright,91.8,90.7,83.7,7,6.6,Low
STU0419,Jeffrey Mills,67.2,100.0,46.9,8,20.52,Low
STU0420,Jake Campbell,99.3,100.0,100.0,7,-4.05,Low
STU0421,George Harper,83.1,75.2,69.4,4,26.04,Low
STU0422,Maria Jones,51.4,78.4,99.7,3,30.15,Low
STU0423,Michael Mitchell,80.7,95.7,63.5,1,12.0,Low
STU0424,Mary Escobar,92.4,86.9,36.4,2,40.39,Moderate
STU0425,Felicia Aguilar,55.0,84.8,53.1,7,35.26,Moderate
STU0426,Gregory Ponce,82.0,100.0,82.2,4,21.85,Low
STU0427,Jenna Larson,83.2,97.8,64.0,3,33.79,Low
STU0428,Emily Bennett,72.3,97.4,45.6,8,21.75,Low
STU0429,Robin Santiago,31.5,69.7,91.2,1,40.37,Moderate
STU0430,Nancy Jennings,81.6,100.0,74.8,4,8.04,Low
STU0431,Maria Henderson,85.3,99.4,63.5,2,19.6,Low
STU0432,Jack White,56.3,78.3,97.1,8,34.82,Low
STU0433,Travis Tucker,82.3,91.4,100.0,3,7.03,Low
STU0434,Chad Jones,74.6,96.9,62.4,8,2.76,Low
STU0435,Ashley Wise,53.9,89.1,43.3,6,51.24,Moderate
STU0436,Sophia Johnson,72.9,86.1,65.8,8,34.87,Low
STU0437,Ralph Anderson,56.5,96.8,76.0,7,28.54,Low
STU0438,Christopher Guerra,78.8,52.1,95.0,8,35.42,Moderate
STU0439,Rhonda Martin,61.9,81.1,24.2,3,51.69,Moderate
STU0440,Jason Rhodes,72.3,100.0,93.8,8,25.48,Low
STU0441,Jeremy Mitchell,100.0,98.8,88.6,8,-13.27,Low
STU0442,Joann Ferguson,70.1,100.0,48.9,5,20.43,Low
STU0443,Robert Harrison,77.5,90.7,83.8,4,32.95,Low
STU0444,Holly Valentine,62.5,72.6,74.9,5,17.77,Low
STU0445,Mrs. Diane Reyes,62.8,76.2,69.1,8,23.67,Low
STU0446,Tracy Montoya,46.9,55.1,67.9,4,53.24,Moderate
STU0447,Brenda Wright,76.6,75.1,33.6,5,25.08,Low
STU0448,Shelly Spencer,81.4,66.3,100.0,8,22.08,Low
STU0449,Ryan Rosales,71.8,92.1,86.8,2,9.57,Low
STU0450,Phillip Nelson,68.6,96.7,50.1,5,24.05,Low
STU0451,Brittany Kim,100.0,83.1,68.5,4,-2.06,Low
STU0452,Courtney Hayes,38.9,71.8,30.4,5,54.73,Moderate
STU0453,Alexander Brown,43.4,74.2,92.4,6,35.95,Moderate
STU0454,Cynthia Vang,100.0,94.5,92.4,6,-5.18,Low
STU0455,Alfred Galvan,32.0,66.8,52.0,2,40.21,Moderate
STU0456,Marie Moody,72.4,82.7,71.9,3,17.08,Low
STU0457,Dustin Gallegos,78.4,73.4,81.0,3,37.2,Moderate
STU0458,Brenda Thornton,73.0,96.6,70.5,4,20.38,Low
STU0459,Aaron Miller,94.1,84.5,77.2,7,16.77,Low
STU0460,Ruben Dunn,52.1,79.7,72.7,3,30.65,Low
STU0461,Kelsey Rodriguez,72.4,68.1,23.0,4,40.13,Moderate
STU0462,Eric Williams,78.2,100.0,44.3,2,11.2,Low
STU0463,Riley Bryant,94.4,84.8,80.7,7,29.96,Low
STU0464,Taylor Carlson,51.1,98.9,93.0,7,14.67,Low
STU0465,Jose Allen,100.0,97.1,63.7,6,11.02,Low
STU0466,Jeffrey Mendez,72.3,100.0,90.3,8,-4.46,Low
STU0467,Jason Beck,100.0,100.0,28.4,7,25.58,Low
STU0468,William Jones,53.2,61.3,59.7,1,40.11,Moderate
STU0469,Katie Mcneil,68.8,100.0,89.5,4,28.52,Low
STU0470,Jeanette Harrison,63.8,56.8,64.8,7,30.75,Low
STU0471,Veronica King,94.3,79.8,100.0,7,4.45,Low
STU0472,Richard Cooper,74.5,75.6,77.0,1,28.81,Low
STU0473,Lori Ingram,65.5,91.8,69.6,7,23.22,Low
STU0474,Evelyn Williams,66.3,82.0,67.3,8,23.54,Low
STU0475,Robin Thompson,69.8,99.4,100.0,1,9.37,Low
STU0476,Julie Dominguez,88.9,100.0,61.7,6,15.79,Low
STU0477,Robin Brown,72.9,64.5,81.2,5,17.54,Low
STU0478,Judith Carter,51.1,100.0,73.6,7,47.15,Moderate
STU0479,Curtis Williams,87.8,65.8,82.5,7,16.64,Low
STU0480,Kaylee Hays,59.2,76.1,54.5,4,30.23,Low
STU0481,Dawn Mullins,35.4,62.3,88.7,8,45.58,Moderate
STU0482,Howard Norman,100.0,51.4,47.0,4,27.16,Low
STU0483,Evelyn Martinez,97.0,80.7,100.0,5,13.89,Low
STU0484,Steve Paul,65.7,100.0,67.4,7,5.22,Low
STU0485,Jasmine Beltran,80.1,100.0,81.7,8,12.61,Low
STU0486,Jonathan Glass MD,81.2,90.4,60.2,1,15.89,Low
STU0487,Monica Miller,87.4,94.0,60.8,7,14.97,Low
STU0488,Samantha Gardner,97.5,66.4,68.7,6,33.31,Low
STU0489,Bobby Guerrero,56.9,68.9,53.7,7,52.71,Moderate
STU0490,Lance Simmons,32.3,95.5,100.0,3,31.11,Low
STU0491,Heather Williams,73.9,95.4,77.1,8,23.3,Low
STU0492,Heather Bolton,86.1,87.3,72.2,3,14.67,Low
STU0493,William Gould,71.1,99.9,98.3,1,-17.47,Low
STU0494,Mark Cox,88.1,91.1,74.9,7,9.44,Low
STU0495,Meghan Cisneros,97.5,86.4,93.7,1,11.78,Low
STU0496,Lawrence Harrington,55.6,64.4,35.5,2,53.55,Moderate
STU0497,Austin Osborne,94.1,100.0,82.8,7,10.97,Low
STU0498,James Bradley,62.2,96.8,80.8,3,27.79,Low
STU0499,Meghan Rush,98.8,100.0,87.7,8,13.65,Low
STU0500,Phillip Berry,74.5,79.5,48.0,3,21.38,Low
